Dates,XLC US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLV US Equity,XLI US Equity,XLB US Equity,XLRE US Equity,XLK US Equity,XLU US Equity
6/15/2018,#N/A N/A,14423.3,7781.09,18844.7,31745.6,16042.2,12599.6,5090.41,2369.62,22122.5,6758.45
6/22/2018,25.245,14516.5,8207.71,19104.9,30312.9,15636.9,11924.4,4685.91,2479.79,22139.6,7146.83
6/29/2018,173.355,13788.6,8436.58,19385.5,29625.1,15061.6,11749.2,4472.77,2592.27,21598.6,7641.97
7/6/2018,205.619,13793.4,8499.94,19188,29547.6,15887.4,11861.4,4428.97,2615.81,22117.8,8186.81
7/13/2018,276.541,14181.1,8605.68,19265.1,29994.9,16651,12653.7,4664.36,2630.1,22640.2,7535.51
7/20/2018,284.872,13946.2,9045.5,19095,31283.2,16464,12600.9,4664.58,2603.25,22523.6,7646.06
7/27/2018,361.934,14039.1,9094.45,19239.8,31920.4,16867.7,13155.5,4692.04,2628.45,23014,7705.14
8/3/2018,364.38,14122.7,9358.07,18699,31947,17509.8,12851,4697.17,2736.86,22983.6,7775.09
8/10/2018,384.306,14569.4,9307.51,18715.2,31592,17506.1,12471.1,4572.56,2716.72,22785.8,7793.46
8/17/2018,427.768,14266.6,9516.91,17511.7,31302.4,17791.3,12675.9,4360.26,2769.57,22841.5,7762.24
8/24/2018,474.624,15096.9,9275.17,17872.8,31607.5,18016.4,12848.8,4347.46,2784.61,22875,7867.37
8/31/2018,499.177,15905.6,9149.15,18072.1,31706.8,18297.6,13101.3,4630.39,2841.71,23701,7519.17
9/7/2018,512.56,15805.9,9385.45,17302.7,31971.7,18312.4,13122.5,4324.63,2837.38,22887.5,7745.72
9/14/2018,655.413,15848.9,9515.74,17386.1,31390.2,18889.8,13534.9,4433.4,2834.15,23445.4,7701.05
9/21/2018,1172.48,16135.3,9687.47,18022.1,32895.7,19147.7,13446.1,4773.56,2801.17,22771.4,7251.93
9/28/2018,2035.95,16223.6,9258.26,18433.2,31056.3,19640.4,12930.2,4548.88,2731.09,22968.6,7638.15
10/5/2018,2599.02,15102.3,8914.96,18396.8,31862.5,19321.5,13096.5,4382.01,2632.08,21707.3,7227.94
10/12/2018,2856.39,14292.6,8910.98,17353.9,28811.2,18101.6,11367.7,3810.17,2463.26,20310.9,7287.2
10/19/2018,3760.96,13925.6,9200.05,16718.3,29300.9,18500.1,11542.4,3784.63,2526.51,20075.8,7616.56
10/26/2018,3724.1,13061,9050,15544.6,27617.9,17848.1,11075.1,3182.5,2442.85,19521.8,7774.63
11/2/2018,3660.32,13453.4,9507.68,15803.9,28731.7,17804.3,11520,4075.26,2536.04,19629.1,7524.67
11/9/2018,3243.95,13620.8,9743.03,16369.7,29388.5,18944.6,11494.9,4328.23,2672.78,19922.3,7724.28
11/16/2018,3278.48,13301.9,9792.1,16242.4,28768.3,18878.8,11534.7,4177.45,2732.01,19450.5,8573.58
11/23/2018,3019.46,12671.2,9545.61,14988.4,28064.3,18350.7,11120.3,3962.2,2683.76,18151,8282.84
11/30/2018,3166.45,13364.1,9874.86,15537.4,29344.6,20254,11463.2,4034.24,2806.16,18996.4,8125.82
12/7/2018,3064.04,12844.1,10277.6,14958.7,26705.6,18996.3,10672.3,3741.35,2742.27,18253.1,8317.92
12/14/2018,3133.38,12684.1,10446.1,14555.4,23973.2,19216.7,10548.7,3660.33,2815.64,18770.9,8794.27
12/21/2018,2695.14,11148.4,9678.31,12985.2,21633.3,17649.3,9245.74,3344.83,2590.51,16638.5,8392.97
12/28/2018,2774.11,11696.7,9622.05,13456.6,22640.4,17737.6,10182.5,3610.89,2544.82,17204.6,8567.66
1/4/2019,2863.57,11772.2,9481.65,13846.4,24172.6,17893.9,9914.27,3770.3,2549.88,17303.4,8106.75
1/11/2019,3046.06,11755.1,9534.61,13873.1,23457.4,18669.8,9995.62,3905.81,2639.12,17734.4,8536.72
1/18/2019,3878.66,11952.4,10040.1,14205.9,24582.9,18873.1,10010.9,4108.16,2781,18014.1,8692.33
1/25/2019,3924.8,12089.4,9612.56,13364.7,24265.7,18692.3,9906.22,3902.92,2888.94,17989.4,8441.84
2/1/2019,4089.03,11952,10190.1,13294.3,24100,19058.9,10223.2,4003.82,3036.68,17727.9,8538.39
2/8/2019,4095.12,12090,10234.7,12787.8,23215.8,18947.2,10008.8,3869.43,3152.78,18112.9,8690.21
2/15/2019,4112.33,12376.6,10001.6,13767.8,23743.3,19578.8,10473.7,4182.63,3083.5,18414.9,9380.12
2/22/2019,4245.35,12372.5,10092.5,13403.5,23776.8,20057,11025.8,4296.38,3055.47,18836.6,8872.65
3/1/2019,4523.87,12360.2,10339.3,13813.2,24064.9,19283.9,10630.6,4449.19,3050.96,19479.8,8773.69
3/8/2019,4635.47,12028.4,10337.7,13743.2,23248.2,18569.7,10370,4294.87,3024.12,19208.6,9376.29
3/15/2019,5082.86,12116.6,10995.9,13978.1,24436.9,19190.5,10083.1,4430.54,3058.43,19189.5,9483.47
3/22/2019,5354.58,12518.6,10874,13468.8,22980.7,19158.5,9901.21,4154.82,2974.98,18620,9432.93
3/29/2019,5287.35,12689,10808,13797.5,21853.4,19434.1,10251,4105.54,3080.51,19514.2,9358.05
4/5/2019,5392.51,13391.8,10977.5,14024,23574.1,19096,10814.2,4207.78,3099.44,20069.9,9573.38
4/12/2019,5681.42,13252.2,11215.9,14017,24721.7,18331.6,10620.3,4171.49,3104.82,20401.2,9224.78
4/19/2019,5750.55,13376.5,11210.3,13987.2,25169.1,18130.4,10812.7,4187.54,3023.6,20323.2,8792.54
4/26/2019,5878.01,13726.6,11106.6,14023.7,25284.4,18292.9,10796.7,4033.35,3033.96,20968.1,9047.57
5/3/2019,5865.54,14022.1,10952.2,12536.7,26853,18024.4,10503.7,3900.24,3035.22,21188.7,9612.16
5/10/2019,5699.22,13705.7,11099.3,12212.7,25078.1,18076.8,10359.4,3411.72,3081.99,20538.6,9347.45
5/17/2019,5309.15,13527.1,11204.8,12072.6,24144.8,18445.5,9661.21,3285.76,2916.54,20364.4,9573.74
5/24/2019,5253.81,12999.4,10973.2,11619.9,23779,18016.4,9486.34,3220.61,2965.72,20059,9331.93
5/31/2019,5104.56,12658.6,10539.3,10768.1,22784.6,17003.5,9393.59,3129.33,2919.42,19910.4,9167.04
6/7/2019,5006.74,13274.6,11302.2,11523.3,23550.9,18057.8,10265.8,3806.97,3013.11,20907,9704.14
6/14/2019,5247.49,14124.4,11739.5,11306.6,24048.7,17941.1,9948.54,4263.5,3068.52,21106.8,9956.07
6/21/2019,5658.77,14139.6,11824.6,12294,23739.8,18517.8,10296,4052.69,3289.77,21191.1,9753.77
6/28/2019,5751.36,13863.3,11928.8,12253,24414.8,18390.5,10496.3,4268.96,3246.79,20708.4,10072.9
7/5/2019,5910.57,14002,12080.3,12228.4,25176.3,18174.9,10527.9,4323.18,3399.56,21223.2,10119.9
7/12/2019,6087.31,14561.2,11970.3,12467.5,25098.5,17736,10600.4,4717.68,3598.35,21750.1,9962.72
7/19/2019,5797.07,14922.2,12115.2,12020.1,24788.2,17334.9,10043.4,4536.92,3514.4,21556.8,9953.45
7/26/2019,6110.72,14542.2,12298.7,11823.3,25671.7,17310.6,10517.1,4546.07,3553.09,22316.3,10096.1
8/2/2019,5928.42,14012.9,13020,11223.8,24366.5,17351,9926.81,4404.3,3567.38,21668.1,10230
8/9/2019,5711.26,13970.4,12642.4,10799,21820.1,17189.2,9783.93,4296.48,3698.89,21471.4,10425.5
8/16/2019,5505.18,13634.8,13539.5,9979.88,20603.6,17015.7,9605.21,4111.96,3748.09,21253.5,10273.4
8/23/2019,5333.66,13548.2,13603.6,9847.52,20303.1,16950.1,8739.74,4287.4,3792.41,21160.5,10889.6
8/30/2019,5589.46,13937.4,13821.2,9956.93,21167.1,16862,9619.7,4309.78,3897.47,21855.3,11103.2
9/6/2019,5752.78,14265.6,13238.6,10190,21566.3,16744.9,9953.09,4282.91,3956.12,22759.4,11015.3
9/13/2019,6018.88,14385,13613.3,10168.2,22846,17081.7,10051.7,4277.23,3814.62,23070.2,10802
9/20/2019,6075.2,14212.4,13663.8,10765.3,22442.8,17292.8,9918.91,4254.37,3892.44,22409.1,11025.5
9/27/2019,5850.81,13882.1,13994.8,10293.6,22745,16581,9792.79,4211.31,3895.6,22178.2,11398.5
10/4/2019,5897.08,13823.9,14359.7,9850.67,22471.8,16774.6,9324.68,3492.56,3876.96,22337,11397.8
10/11/2019,6068.23,13898.4,14015.8,10164,22587.2,16986.5,9767.12,3399.35,3926.92,22599.4,11267.4
10/18/2019,6136.6,14178.2,13871.3,10010.1,23287.6,17495.5,9927.26,3408.83,4054.86,22412.5,11457.2
