Dates,XLC US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLV US Equity,XLI US Equity,XLB US Equity,XLRE US Equity,XLK US Equity,XLU US Equity
4/2/2021,74.58,169.42,67.98,50.31,34.47,116.39,98.78,79.49,40.12,135.48,63.98
4/9/2021,76.92,175.98,68.92,48.19,35.15,117.95,100.51,80.05,40.34,141.77,64.82
4/16/2021,76.84,179.87,69.81,48.4,35.4,121.48,101.14,82.66,41.4,143.3,67.21
4/23/2021,76.45,177.82,69.57,47.54,35.38,123.68,101.56,82.91,42.24,142.7,66.58
4/30/2021,78.05,178.92,69.58,49.39,36.26,121.33,101.93,83.04,42.77,139.7,66.72
5/7/2021,78.28,177.62,70.64,53.63,37.78,124.07,105.35,87.87,42.37,139.03,66.04
5/14/2021,77.09,170.74,70.91,53.49,37.88,123.45,104.73,87.91,41.95,135.98,65.91
5/21/2021,76.86,168.55,71.02,52.16,37.58,124.36,103.04,86.6,42.34,136.19,66.16
5/28/2021,78.79,172.84,70.81,52.21,37.99,123.6,105.12,87.26,43.26,138.4,65.16
6/4/2021,79.19,171.03,71.52,55.75,38.47,122.09,105.34,87.91,44.56,140.02,65.39
6/11/2021,79.81,173.21,70.94,55.38,37.56,124.55,103.51,86.12,45.44,141.97,66.11
6/18/2021,78.58,172.16,68.8,52.39,35.23,123.74,99.61,80.74,44.33,142.09,64.1
6/25/2021,80.65,177.93,69.68,55.34,36.93,125.7,102.35,82.13,44.69,145.23,63.98
7/2/2021,82.14,181.14,69.93,54.69,36.94,128.29,103.29,82.88,44.72,149.86,64.02
7/9/2021,81.64,182.49,70.15,52.85,36.71,128.71,103.49,82.98,45.91,151.2,64.6
7/16/2021,80.86,178.01,71.04,48.68,36.12,128.62,101.91,81.09,46.23,150.3,66.27
7/23/2021,83.5,183.27,71.4,48.52,36.26,131.48,103.61,81.73,46.28,154.52,65.71
7/30/2021,82.4,180.43,71.51,49.39,36.52,132.15,103.36,84.02,46.38,153.4,65.97
8/6/2021,82.82,181.01,70.94,49.51,37.86,132.94,103.54,84.14,46.73,154.86,67.45
8/13/2021,83.19,181.56,72.51,49.42,38.58,133.69,105,86.45,46.74,154.99,68.68
8/20/2021,82.73,177.62,72.76,45.89,37.69,136.11,102.63,83.78,47,155.74,69.93
8/27/2021,84.72,181.84,71.78,49.31,39,134.63,104.92,85.95,46.83,158,68.52
9/3/2021,85.47,183.52,72.83,48.62,38.07,136.85,104.59,85.37,48.73,159.36,69.49
9/10/2021,84.26,182.9,71.88,47.79,37.58,133.19,101.96,84.01,46.85,156.63,68.45
9/17/2021,83.14,184.11,71.36,49.32,37.58,133,100.33,81.33,46.85,155.48,66.4
9/24/2021,82.45,184.9,70.62,50.9,38.22,131.98,100.85,81.07,45.91,156.71,65.14
10/1/2021,81.46,180.8,69.02,53.84,38.15,127.33,99.18,80.37,44.93,151.57,63.88
10/8/2021,80.98,182.63,70.05,56.57,39.02,126.94,100.95,81.18,44.62,151.96,64.77
10/15/2021,80.32,189.01,70.81,57.33,39.51,127.97,102.89,84.15,46.2,155.91,65.68
10/22/2021,80.38,192.75,71.29,57.95,40.62,131.67,104.8,84.83,47.69,158.41,67.25
10/29/2021,80.3,201.15,71.25,57.47,40.26,133.82,104.49,85.12,47.82,161.53,66.91
11/5/2021,81.7,211.26,73,58.26,40.02,132.86,106.39,87.82,48.22,167.08,67.22
11/12/2021,81.23,203.79,72.84,57.55,40.15,133.81,106.9,90.1,48.19,167.31,66.65
11/19/2021,79.69,211.42,72.05,54.67,39.02,132.97,105.73,88.31,48.21,171.31,67.3
11/26/2021,77.18,204.07,71.96,55.58,38.77,131.97,103.21,86.4,47.8,165.99,66.76
12/3/2021,74.7,199.65,71.57,55.14,38.03,130.37,102.2,85.31,47.81,165.13,67.4
12/10/2021,76.7,204.99,74.19,57.24,39.05,134.58,105.35,88.3,49.19,174.88,69.15
12/17/2021,76.48,195.29,75.2,54.37,38.59,137.92,102.44,87.66,50.05,167.88,70.01
12/24/2021,78.11,203.19,75.25,54.9,38.82,139.3,103.92,88.31,49.92,172.94,69.72
12/31/2021,77.68,204.44,77.11,55.5,39.05,140.89,105.81,90.61,51.81,173.87,71.58
1/7/2022,76.44,199.48,77.42,61.34,41.17,134.35,106.49,89.3,49.27,165.93,70.41
1/14/2022,76.56,196.52,77.03,64.51,40.83,134.07,105.85,88.8,48.29,165.76,69.4
1/21/2022,72.22,180.42,75.96,62.45,38.2,129.47,101.2,84.04,46.89,154.33,68.84
1/28/2022,72.31,178.1,75.68,65.63,38.72,130.48,99.7,83.22,46.82,158,67.96
2/4/2022,71.17,184.4,75.89,68.9,40.1,132.3,100.11,83.12,46.69,159.6,68.48
2/11/2022,69.31,180.48,75.25,70.41,40.11,130.25,99.36,84,45.42,154.89,67.03
2/18/2022,67.41,180,76.03,68.05,39.22,127.51,98.34,83.86,44.68,152.44,66.22
2/25/2022,68.53,176.19,75.91,68.88,39.1,130.95,99.13,84.34,45.86,154.35,67.58
3/4/2022,66.49,171.6,75.87,75.23,37.23,132.52,100.39,83.06,46.67,149.75,70.89
3/11/2022,64.37,166.72,71.44,76.85,36.4,128.94,97.94,81.85,45.87,144.06,70.43
3/18/2022,68.23,181.88,74.19,73.88,39,136.99,102.84,86.1,47.23,155.07,70.81
3/25/2022,69.18,183.36,75.04,78.75,39.52,136.27,103.72,89.29,47.13,158.22,72.78
4/1/2022,69.29,185.23,76.65,77.06,38.22,138.07,102.18,89.08,49.28,158.46,75.5
4/8/2022,68.08,179.48,78.72,79.53,37.89,142.83,99.6,88.48,49.67,152.41,76.96
4/15/2022,66.48,178.4,78.84,79.85,36.89,138.64,99.94,89.06,48.76,146.64,76.09
4/22/2022,61.32,175.82,79.24,76.2,36.17,133.67,98.43,85.74,49.37,143.08,74.25
4/29/2022,59.06,162.88,77.64,75.15,34.51,130.29,95.14,85.03,46.6,141.42,71.26
5/6/2022,59.37,158.15,76.72,82.92,34.74,129.78,95.52,84.53,44.83,140.57,72.21
5/13/2022,59.01,152.32,76.95,80.78,33.53,128.6,93.1,82.49,43.09,135.86,71.43
5/20/2022,58.02,140.41,70.7,81.77,32.92,129.78,89.74,82.42,42.35,131.06,71.74
5/27/2022,60.22,153.76,75,88.53,35.57,134.02,95.47,87.36,44.82,141.46,75.37
6/3/2022,59.62,153,73.82,89.51,34.87,129.82,95.55,86.67,43.84,139.99,74.35
6/10/2022,56.71,144.47,71.92,88.71,32.53,125.49,90.84,81.67,41.17,131.09,71.34
6/17/2022,53.84,136.1,68.83,73.49,30.93,119.89,85.56,74.92,39.08,124.62,64.87
6/24/2022,56.94,146.99,72.85,71.59,32.34,129.2,88.82,76.46,41.81,133.45,69.01
7/1/2022,54.82,140.01,73.22,72.58,31.88,129.68,88.1,74.12,41.59,127.41,71.85
7/8/2022,56.71,146.37,72.9,70.95,32.08,130.74,87.91,73.02,41.23,132.87,69.82
7/15/2022,55.41,144.84,72.94,68.59,31.78,130.2,86.84,72.04,41,132.38,69.76
7/22/2022,55.99,154.75,73.2,71.15,32.75,129.83,90.45,75.06,42.26,137.22,69.43
7/29/2022,56.37,162.83,74.49,78.42,33.71,132.4,95.64,78.13,44.34,144.22,73.95
8/5/2022,57.09,164.31,74.64,73.08,33.69,131.45,96.12,77.11,43.72,147.02,74.23
8/12/2022,59.56,169.91,75.51,78.47,35.56,133.62,99.84,81.12,45.54,150.61,76.72
8/19/2022,57.69,167.53,76.91,79.46,34.96,132.92,98.84,79.17,44.68,148.11,77.7
8/26/2022,55.16,159.68,74.45,82.84,33.72,127.29,95.52,78.17,42.98,139.88,75.71
9/2/2022,53.84,155.49,72.56,79.96,32.89,124.99,92.16,74.35,41.28,132.85,74.6
9/9/2022,55.62,164.48,73.98,80.6,34.36,130.5,95.29,78.07,43.04,137.2,77.38
9/16/2022,52.14,157.94,71.33,78.44,33.06,127.45,89.21,72.9,40.35,128.71,74.47
9/23/2022,49.11,146.42,69.38,70.48,31.05,122.73,84.75,68.43,37.46,123.74,71.76
9/30/2022,47.89,142.45,66.73,72.02,30.36,121.11,82.84,68.01,36.01,118.78,65.51
10/7/2022,48.73,140.65,66.5,81.8,30.89,122.62,85.16,69.46,34.53,120.77,63.76
10/14/2022,47.98,135.27,67.53,80.28,31.01,123.9,84.74,68.18,33.77,116.8,62.15
10/21/2022,50.15,142.4,68.91,86.93,32.19,126.54,88.69,72.32,34.67,124.34,63.31
10/28/2022,49.03,144.96,73.17,89.25,34.19,132.86,94.62,74.75,36.82,129.58,67.41
11/4/2022,45.72,137.5,71.85,91.42,33.91,130.81,95.07,75.42,36.19,120.99,67.09
11/11/2022,50.02,145.09,73.52,93.13,35.87,133.13,99.53,81.25,38.74,133.14,68.08
11/18/2022,49.53,140.99,74.68,91.63,35.37,134.57,99.44,79.99,38.05,132.09,68.85
11/25/2022,50.2,142.63,76.25,91.87,36.11,137.15,101.3,82.37,38.8,133.6,70.94
12/2/2022,51.94,145.96,77.19,90.31,35.93,139.78,102.33,83.76,38.97,135.36,71.03
12/9/2022,49.44,139.43,75.89,82.68,34.53,137.98,99.07,80.98,38.3,130.91,70.83
12/16/2022,48.05,133.91,74.86,84.36,33.7,135.53,98.1,79.08,37.5,127.48,70.48
12/23/2022,47.8,129.43,75.18,87.06,33.95,136.1,98.39,78.52,37.08,124.6,70.91
12/30/2022,47.99,129.16,74.55,87.47,34.2,135.85,98.21,77.68,36.93,124.44,70.5
1/6/2023,50.4,132.07,75.78,87.56,35.38,135.67,100.91,80.37,37.88,124.73,71
1/13/2023,52.35,139.7,74.74,89.95,36.12,135.45,102.46,83.79,39.56,130.49,71.33
1/20/2023,53.1,138.98,72.62,90.48,35.35,133.91,98.99,82.78,39.22,131.34,69.23
1/27/2023,55.29,147.89,72.86,91.23,36.25,132.86,101.14,83.4,40.35,136.7,68.89
2/3/2023,58.2,151.35,73.4,85.96,36.59,132.69,102.85,83.41,40.96,141.77,67.91
2/10/2023,54.96,148.15,72.97,90.21,36.49,132.49,102.14,82.03,40.12,140.38,67.71
2/17/2023,55.35,150.57,73.68,84.49,36.39,131.99,103.03,81.3,39.61,139.82,68.48
2/24/2023,53.24,143.86,72.71,84.66,35.66,128.51,100.31,81.19,38.13,136.09,66.61
3/3/2023,54.76,146.31,72.54,87.26,35.99,129.17,103.67,84.6,38.75,140.14,66.25
3/10/2023,52.26,138.2,71.11,82.63,32.93,124.15,99,78.18,36.1,135.77,64.42
3/17/2023,55.01,141.34,72.11,76.97,30.98,125.86,96.67,75.51,36.23,143.46,66.97
3/24/2023,56.65,141.58,72.97,77.89,30.99,127.3,96.91,76.81,35.51,145.96,65.69
3/31/2023,57.97,149.54,74.71,82.83,32.15,129.46,101.18,80.66,37.38,151.01,67.69
4/7/2023,58.93,144.93,75.36,84.98,31.99,133.52,97.77,79.63,37.1,149.07,69.81
4/14/2023,59.23,146.9,75.18,87.23,32.88,134.57,99.83,80.93,36.6,148.65,68.89
4/21/2023,57.69,147.37,76.57,84.98,33.22,134.3,100.61,80.7,37.18,147.76,69.62
4/28/2023,59.9,147.86,77.44,85.13,33.17,133.53,100,80.55,37.75,150.83,68.98
5/5/2023,58.33,147.19,77.18,80.23,32.33,133.59,99.51,79.66,37.44,151.24,69.03
5/12/2023,59.71,147.83,77.12,78.52,31.9,132.19,98.48,78.1,37.09,150.95,69.03
5/19/2023,61.41,151.55,75.92,79.64,32.6,131.31,99.78,78.63,36.21,157.48,66.11
