Symbol,gics_sector_name,gics_sub_industry_name,gics_industry_name,gics_industry_group_name,gics_industry,gics_sector
WELL UN Equity,Real Estate,Health Care REITs,Health Care REITs,Equity Real Estate Investment Trusts (REITs),601050,60
BIIB UW Equity,Health Care,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",352010,35
NTRS UW Equity,Financials,Asset Management & Custody Banks,Capital Markets,Financial Services,402030,40
PKG UN Equity,Materials,Paper & Plastic Packaging Products & Materials,Containers & Packaging,Materials,151030,15
PAYX UW Equity,Industrials,Human Resource & Employment Services,Professional Services,Commercial & Professional Services,202020,20
QCOM UW Equity,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
ROST UW Equity,Consumer Discretionary,Apparel Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,255040,25
IDXX UW Equity,Health Care,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,351010,35
SBUX UW Equity,Consumer Discretionary,Restaurants,"Hotels, Restaurants & Leisure",Consumer Services,253010,25
KEY UN Equity,Financials,Diversified Banks,Banks,Banks,401010,40
FOXA UW Equity,Communication Services,Broadcasting,Media,Media & Entertainment,502010,50
FOX UW Equity,Communication Services,Broadcasting,Media,Media & Entertainment,502010,50
STT UN Equity,Financials,Asset Management & Custody Banks,Capital Markets,Financial Services,402030,40
NCLH UN Equity,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Hotels, Restaurants & Leisure",Consumer Services,253010,25
USB UN Equity,Financials,Diversified Banks,Banks,Banks,401010,40
AOS UN Equity,Industrials,Building Products,Building Products,Capital Goods,201020,20
GEN UW Equity,Information Technology,Systems Software,Software,Software & Services,451030,45
TROW UW Equity,Financials,Asset Management & Custody Banks,Capital Markets,Financial Services,402030,40
WM UN Equity,Industrials,Environmental & Facilities Services,Commercial Services & Supplies,Commercial & Professional Services,202010,20
STZ UN Equity,Consumer Staples,Distillers & Vintners,Beverages,"Food, Beverage & Tobacco",302010,30
IVZ UN Equity,Financials,Asset Management & Custody Banks,Capital Markets,Financial Services,402030,40
INTU UW Equity,Information Technology,Application Software,Software,Software & Services,451030,45
MS UN Equity,Financials,Investment Banking & Brokerage,Capital Markets,Financial Services,402030,40
MCHP UW Equity,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
CRWD UW Equity,Information Technology,Systems Software,Software,Software & Services,451030,45
CB UN Equity,Financials,Property & Casualty Insurance,Insurance,Insurance,403010,40
HOLX UW Equity,Health Care,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,351010,35
CFG UN Equity,Financials,Regional Banks,Banks,Banks,401010,40
JBL UN Equity,Information Technology,Electronic Manufacturing Services,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,452030,45
ORLY UW Equity,Consumer Discretionary,Automotive Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,255040,25
ALL UN Equity,Financials,Property & Casualty Insurance,Insurance,Insurance,403010,40
EQR UN Equity,Real Estate,Multi-Family Residential REITs,Residential REITs,Equity Real Estate Investment Trusts (REITs),601060,60
BWA UN Equity,Consumer Discretionary,Automotive Parts & Equipment,Automobile Components,Automobiles & Components,251010,25
KDP UW Equity,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Beverages,"Food, Beverage & Tobacco",302010,30
HST UW Equity,Real Estate,Hotel & Resort REITs,Hotel & Resort REITs,Equity Real Estate Investment Trusts (REITs),601030,60
INCY UW Equity,Health Care,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",352010,35
SPG UN Equity,Real Estate,Retail REITs,Retail REITs,Equity Real Estate Investment Trusts (REITs),601070,60
EMN UN Equity,Materials,Specialty Chemicals,Chemicals,Materials,151010,15
AVB UN Equity,Real Estate,Multi-Family Residential REITs,Residential REITs,Equity Real Estate Investment Trusts (REITs),601060,60
PRU UN Equity,Financials,Life & Health Insurance,Insurance,Insurance,403010,40
UPS UN Equity,Industrials,Air Freight & Logistics,Air Freight & Logistics,Transportation,203010,20
WBA UW Equity,Consumer Staples,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,301010,30
STE UN Equity,Health Care,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,351010,35
MCK UN Equity,Health Care,Health Care Distributors,Health Care Providers & Services,Health Care Equipment & Services,351020,35
LMT UN Equity,Industrials,Aerospace & Defense,Aerospace & Defense,Capital Goods,201010,20
COR UN Equity,Health Care,Health Care Distributors,Health Care Providers & Services,Health Care Equipment & Services,351020,35
COF UN Equity,Financials,Consumer Finance,Consumer Finance,Financial Services,402020,40
CPB UW Equity,Consumer Staples,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",302020,30
WAT UN Equity,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",352030,35
NDSN UW Equity,Industrials,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,201060,20
DLTR UW Equity,Consumer Staples,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,301010,30
DRI UN Equity,Consumer Discretionary,Restaurants,"Hotels, Restaurants & Leisure",Consumer Services,253010,25
EVRG UW Equity,Utilities,Electric Utilities,Electric Utilities,Utilities,551010,55
MTCH UW Equity,Communication Services,Interactive Media & Services,Interactive Media & Services,Media & Entertainment,502030,50
NVR UN Equity,Consumer Discretionary,Homebuilding,Household Durables,Consumer Durables & Apparel,252010,25
NTAP UW Equity,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,452020,45
ODFL UW Equity,Industrials,Cargo Ground Transportation,Ground Transportation,Transportation,203040,20
DVA UN Equity,Health Care,Health Care Services,Health Care Providers & Services,Health Care Equipment & Services,351020,35
HIG UN Equity,Financials,Property & Casualty Insurance,Insurance,Insurance,403010,40
IRM UN Equity,Real Estate,Other Specialized REITs,Specialized REITs,Equity Real Estate Investment Trusts (REITs),601080,60
EL UN Equity,Consumer Staples,Personal Care Products,Personal Care Products,Household & Personal Products,303020,30
CDNS UW Equity,Information Technology,Application Software,Software,Software & Services,451030,45
TYL UN Equity,Information Technology,Application Software,Software,Software & Services,451030,45
UHS UN Equity,Health Care,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,351020,35
SWKS UW Equity,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
DGX UN Equity,Health Care,Health Care Services,Health Care Providers & Services,Health Care Equipment & Services,351020,35
ROK UN Equity,Industrials,Electrical Components & Equipment,Electrical Equipment,Capital Goods,201040,20
KHC UW Equity,Consumer Staples,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",302020,30
AMT UN Equity,Real Estate,Telecom Tower REITs,Specialized REITs,Equity Real Estate Investment Trusts (REITs),601080,60
REGN UW Equity,Health Care,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",352010,35
AMZN UW Equity,Consumer Discretionary,Broadline Retail,Broadline Retail,Consumer Discretionary Distribution & Retail,255030,25
JKHY UW Equity,Financials,Transaction & Payment Processing Services,Financial Services,Financial Services,402010,40
